productId,name,type,brandName,batchNumber,supplierName,category,subCategory,storageInstructions,quantityPerUnit,gst,hsnCode,discount,updatedOn,expiry,manufactureDate,sellingPrice,lastSoldDate,stockStatus,scientificName,form,strength,idealDosage,route,dosageTiming,dosageFrequency,durationOfUse,sideEffects,allergyWarnings,controlledSubstance,prescriptionRequired,usageInstructions,warranty,
MED001,Paracetamol 500mg,medicine,Cipla,BT23456,Medilife Distributors,Analgesic,Tablet,Store below 25°C,10 tablets,12%,30049099,5%,20-09-2025,30-06-2026,15-06-2024,25,15-09-2025,in_stock,Paracetamol,Tablet,500mg,1 tablet,Oral,After Meal,3 times daily,5 days,Nausea,Dizziness,No,No,Yes,Take with water,N/A
MED002,Amoxicillin 250mg,medicine,Sun Pharma,BT67891,Star Pharma Supplies,Antibiotic,Capsule,Keep in cool dry place,10 capsules,12%,30049085,10%,20-09-2025,15-05-2026,10-05-2024,65,17-09-2025,in_stock,Amoxicillin,Capsule,250mg,1 capsule,Oral,Before Meal,3 times daily,7 days,Diarrhea,Rash,No,Yes,Yes,Complete full course,N/A
NON001,Digital Thermometer,nonmedicine,Dr. Morepen,BT11223,HealthKart,Medical Device,Diagnostics,Store at room temperature,1 unit,18%,90251900,15%,20-09-2025,N/A,20-01-2025,250,19-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,
NON002,Cotton Roll 500g,nonmedicine,AbsorbX,BT44567,Apollo Distributors,Consumables,Cotton & Bandages,Store in dry area,500g,5%,30059020,8%,20-09-2025,N/A,01-04-2025,120,18-09-2025,low_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED003,Azithromycin 500mg,medicine,Alkem,BT99812,MedPlus Pharma,Antibiotic,Tablet,Store below 30°C,3 tablets,12%,30049010,0%,20-09-2025,30-04-2026,20-04-2024,70,10-09-2025,in_stock,Azithromycin,Tablet,500mg,1 tablet,Oral,After Meal,Once daily,3 days,Nausea,Diarrhea,No,Yes,Yes,Complete full course,N/A
NON003,Hand Sanitizer 200ml,nonmedicine,Lifebuoy,BT22345,Hindustan Unilever,Personal Care,Hand Hygiene,Keep away from fire,200ml,18%,38089400,20%,20-09-2025,01-09-2026,10-01-2025,95,19-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6 months,
MED004,Metformin 500mg,medicine,Dr. Reddy’s,BT55211,PharmaKart,Antidiabetic,Tablet,Store below 25°C,15 tablets,12%,30049072,5%,20-09-2025,15-07-2026,01-07-2024,45,18-09-2025,in_stock,Metformin,Tablet,500mg,1 tablet,Oral,After Meal,2 times daily,30 days,Nausea,Hypoglycemia,No,Yes,Yes,Take with food,N/A
NON004,Surgical Mask (Box of 50),nonmedicine,3M,BT66778,Wellness Forever,Protective Gear,Face Mask,Store in clean dry place,50 masks,5%,63079090,25%,20-09-2025,N/A,01-03-2025,150,17-09-2025,out_of_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 months,
MED005,Ibuprofen 400mg,medicine,Torrent Pharma,BT77452,Care Pharma,Analgesic,Tablet,Store below 25°C,10 tablets,12%,30049041,10%,20-09-2025,10-03-2026,01-03-2024,40,15-09-2025,in_stock,Ibuprofen,Tablet,400mg,1 tablet,Oral,After Meal,3 times daily,7 days,Stomach upset,Allergy,No,No,Yes,Take with water,N/A
NON005,Glucometer Strips (25),nonmedicine,Accu-Chek,BT11457,Roche Diagnostics,Medical Device,Diabetes Care,Store in dry place,25 strips,18%,38220019,5%,20-09-2025,01-07-2026,01-07-2024,550,18-09-2025,in_stock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,
MED006,Vitamin C 1000mg,medicine,HealthVit,BT91344,HerbalLife Distributors,Supplement,Tablet,Store in cool dry place,20 tablets,12%,21069099,12%,20-09-2025,30-01-2027,01-01-2025,120,16-09-2025,in_stock,Vitamin C,Tablet,1000mg,1 tablet,Oral,After Meal,Once daily,30 days,Nausea,Allergy,No,No,Yes,Take with water,N/A
